mult.cl,Global Dataset Size,Local Work Size,Work Goups,Performance,
1,1024,8,128,19.554,MegaMults/Sec
1,1024,16,64,17.588,MegaMults/Sec
1,1024,32,32,10.236,MegaMults/Sec
1,1024,64,16,16.291,MegaMults/Sec
1,1024,128,8,11.155,MegaMults/Sec
1,1024,256,4,15.754,MegaMults/Sec
1,1024,512,2,12.002,MegaMults/Sec
10,10240,8,1280,140.245,MegaMults/Sec
10,10240,16,640,158.462,MegaMults/Sec
10,10240,32,320,151.753,MegaMults/Sec
10,10240,64,160,159.83,MegaMults/Sec
10,10240,128,80,121.258,MegaMults/Sec
10,10240,256,40,171.2,MegaMults/Sec
10,10240,512,20,165.962,MegaMults/Sec
100,102400,8,12800,942.164,MegaMults/Sec
100,102400,16,6400,1330.768,MegaMults/Sec
100,102400,32,3200,1621.228,MegaMults/Sec
100,102400,64,1600,953.88,MegaMults/Sec
100,102400,128,800,1491.624,MegaMults/Sec
100,102400,256,400,1557.106,MegaMults/Sec
100,102400,512,200,1585.999,MegaMults/Sec
1000,1024000,8,128000,2489.407,MegaMults/Sec
1000,1024000,16,64000,4424.912,MegaMults/Sec
1000,1024000,32,32000,6686.56,MegaMults/Sec
1000,1024000,64,16000,7581.479,MegaMults/Sec
1000,1024000,128,8000,8838.638,MegaMults/Sec
1000,1024000,256,4000,9063.872,MegaMults/Sec
1000,1024000,512,2000,8393.03,MegaMults/Sec
2000,2048000,8,256000,2824.781,MegaMults/Sec
2000,2048000,16,128000,4741.432,MegaMults/Sec
2000,2048000,32,64000,8341.581,MegaMults/Sec
2000,2048000,64,32000,11527.375,MegaMults/Sec
2000,2048000,128,16000,12678.285,MegaMults/Sec
2000,2048000,256,8000,14013.575,MegaMults/Sec
2000,2048000,512,4000,11507.043,MegaMults/Sec
4000,4096000,8,512000,2934.768,MegaMults/Sec
4000,4096000,16,256000,5474.691,MegaMults/Sec
4000,4096000,32,128000,9354.139,MegaMults/Sec
4000,4096000,64,64000,14558.172,MegaMults/Sec
4000,4096000,128,32000,17498.364,MegaMults/Sec
4000,4096000,256,16000,16943.753,MegaMults/Sec
4000,4096000,512,8000,16326.923,MegaMults/Sec
8000,8192000,8,1024000,3026.967,MegaMults/Sec
8000,8192000,16,512000,5774.248,MegaMults/Sec
8000,8192000,32,256000,9856.556,MegaMults/Sec
8000,8192000,64,128000,16062.713,MegaMults/Sec
8000,8192000,128,64000,19748.231,MegaMults/Sec
8000,8192000,256,32000,18107.668,MegaMults/Sec
8000,8192000,512,16000,18424.887,MegaMults/Sec