NMB,Global Dataset Size,Local Work Size,Work Goups,Performance,
1,1024,32,32,9.617,MegaMults/Sec
1,1024,64,16,16.939,MegaMults/Sec
1,1024,128,8,20.132,MegaMults/Sec
1,1024,256,4,14.995,MegaMults/Sec
10,10240,32,320,144.848,MegaMults/Sec
10,10240,64,160,157.222,MegaMults/Sec
10,10240,128,80,190.949,MegaMults/Sec
10,10240,256,40,131.42,MegaMults/Sec
100,102400,32,3200,1202.245,MegaMults/Sec
100,102400,64,1600,1255.486,MegaMults/Sec
100,102400,128,800,974.821,MegaMults/Sec
100,102400,256,400,1384.701,MegaMults/Sec
1000,1024000,32,32000,1979.727,MegaMults/Sec
1000,1024000,64,16000,2989.825,MegaMults/Sec
1000,1024000,128,8000,2960.958,MegaMults/Sec
1000,1024000,256,4000,2479.263,MegaMults/Sec
2000,2048000,32,64000,2532.911,MegaMults/Sec
2000,2048000,64,32000,3819.962,MegaMults/Sec
2000,2048000,128,16000,4943.576,MegaMults/Sec
2000,2048000,256,8000,3631.772,MegaMults/Sec
4000,4096000,32,128000,3049.9,MegaMults/Sec
4000,4096000,64,64000,4809.741,MegaMults/Sec
4000,4096000,128,32000,5550.918,MegaMults/Sec
4000,4096000,256,16000,5053.677,MegaMults/Sec
8000,8192000,32,256000,3642.759,MegaMults/Sec
8000,8192000,64,128000,5276.44,MegaMults/Sec
8000,8192000,128,64000,7781.717,MegaMults/Sec
8000,8192000,256,32000,6437.296,MegaMults/Sec