      1024 ,        8 ,     9.9626 ,  82.13
      1024 ,       32 ,    11.8959 ,  83.79
      1024 ,       64 ,    10.7419 ,  82.42
      1024 ,      128 ,    12.6783 ,  83.79
      1024 ,      256 ,    11.8519 ,  85.16
      4096 ,        8 ,    46.5455 ,  84.25
      4096 ,       32 ,    50.7735 ,  84.13
      4096 ,       64 ,    40.2263 ,  83.23
      4096 ,      128 ,    42.5815 ,  83.79
      4096 ,      256 ,    42.8667 ,  83.50
     16384 ,        8 ,   171.6969 ,  84.01
     16384 ,       32 ,   164.8953 ,  83.44
     16384 ,       64 ,   191.1161 ,  84.07
     16384 ,      128 ,   192.6985 ,  84.64
     16384 ,      256 ,   191.7603 ,  83.51
     65536 ,        8 ,   430.7045 ,  83.76
     65536 ,       32 ,   643.0141 ,  83.81
     65536 ,       64 ,   568.7309 ,  83.63
     65536 ,      128 ,   674.1277 ,  83.91
     65536 ,      256 ,   654.3131 ,  83.75
    262144 ,        8 ,   686.4421 ,  83.78
    262144 ,       32 ,  1390.5958 ,  83.72
    262144 ,       64 ,  1515.3533 ,  83.78
    262144 ,      128 ,  1727.1769 ,  83.85
    262144 ,      256 ,  1477.9000 ,  83.88
   1048576 ,        8 ,   813.9703 ,  83.78
   1048576 ,       32 ,  2440.6375 ,  83.78
   1048576 ,       64 ,  2748.3016 ,  83.80
   1048576 ,      128 ,  2767.8014 ,  83.77
   1048576 ,      256 ,  2755.6976 ,  83.86
   2097152 ,        8 ,   834.8642 ,  83.80
   2097152 ,       32 ,  2821.4223 ,  83.80
   2097152 ,       64 ,  3044.0800 ,  83.77
   2097152 ,      128 ,  3043.5147 ,  83.82
   2097152 ,      256 ,  3051.7345 ,  83.79